actor,paragraph,date
Legenes klimaaksjon,Legenes klimaaksjon ønskjer med dette å stille seg heilhjarta bak Klimautvalget 2050 sine konklusjonar i rapporten «Omstilling til lavutslipp». Klimakrisa har blitt beskriven som den største trusselen mot folkehelsa i det 21.århundre og vi veit med sikkerheit at helsekonsekvenser av klimaendringar allereie prege jorda si befolkning i stor skala. Det er med dette som bakteppe vi meine det er kritisk å avvikle petroleumsindustrien og å bevege oss mot fornybar energi.,29.01.2024
Legenes klimaaksjon,"Det er særs gledeleg at Klimautvalget 2050 tar til orde for at «Norge må redusere omfanget av petroleumsutvinning mot 2050 meir enn det som ligge i dagens forventningar» (s.247), samt at det er «hensiktsmessig å utarbeide ein strategi for sluttfasen av norsk petroleumsvirksomhet» (s. 247).",29.01.2024
Legenes klimaaksjon,"Det er gjort oss bekjent at våre kollegaer i Veterinært Bærekraftsforum også støtter utvalget sine hovudkonklusjonar. I tillegg til å stille oss i rekkja av helsearbeidarar som applaudere den tydelege talen frå Klimautvalget 2050, ønskjer vi med bakgrunn i vår profesjon å foreslå at følgande punkter understrekast i rapporten:1. Utfasing av fossilt brensel har brei støtte i helsemiljøet",29.01.2024
Legenes klimaaksjon,"I tillegg til at fleire store helseaktører har tatt til orde for at klimaendringar er ein massiv helsetrussel, har ei rekke helseorganisasjonar skrive under på oppropet The Fossil Fuel Non-Proliferation Treaty. Dette inkludere blant anna International Federation of Medical Student Association som organiserer over 1.2 millionar medisinstudentar på verdsbasis og World Medical Association som organiserer 116 legeforeiningar verden rundt. Dette ga også gjenklang i forkant av COP28 der helseleiarar og helseorganisasjoner globalt gjekk saman om ei oppfordring som tok til orde for utfasing av fossilt brensel.",29.01.2024
Legenes klimaaksjon,2. Ei tredelt krise må sjåast i samanheng,29.01.2024
Legenes klimaaksjon,"Vi står i ein tredelt krise som må sjåast i samanheng: klimakrise, naturmangfoldskrise og forurensingkrise. For å begrense helsekonsekvensar av denne trippelkrisa er det heilt naudsynt at vi ser samanhengen mellom klimaendringar, nedbygging av natur og den stadige aukande miljøforureininga. Vi oppfordre Klimautvalg 2050 til å anerkjenne denne samanhengen i sin rapport.",29.01.2024
Legenes klimaaksjon,3. Norsk natur må bevarast - for helsa til menneske,29.01.2024
Legenes klimaaksjon,"Det presenterast stadig meir forsking som viser dei positive helseeffektar av å vere omringa av natur. Ein nyleg publisert studie i The Lancet som følgde over 2 millionar menneske i Wales over 10 år, viste at tilgang til natur gir betre psykisk helse og mindre risiko for å utvikle vanlege psykiske lidelser som angst og depresjon. Vi oppfordrer Klimautvalg 2050 til å ta til orde for å begrense nedbygging av norsk natur. 4. Helsesektoren er ein klimaversting",29.01.2024
Legenes klimaaksjon,"Helsesektoren er ein betydeleg bidragsytar til klimagassutslepp, noko sektoren sjølv har tatt innover seg i større og større grad. Helsesektoren er ein særleg stor sektor og Helsedirektoratet rekne at sektoren står for utslepp av 2 700 000 tonn CO2 ekvivalentar årleg, som tilsvara 5.5% av Norge sitt totale klimafotavtrykk. Helsedirektoratet utarbeider i desse dagar eit vegkart mot ein lågutslipps helsesektor som er venta å bli publisert våren 2024. Dette vegkartet vil ikkje inneholde føringar for den stadig voksande private helsesektoren i Norge. Arbeidet med å gjøre helsesektoren klimanøytral er i startgropa og treng både politisk vilje og handling for å kunne gjennomførast. Vi oppfordrer derfor Klimautvalg 2050 til å ta til orde for viktigheita av ein klimanøytral helsesektor som inneberer alle deler av sektoren (den offentlege primærhelsetjenesta, den offentlege spesialisthelsetjenesta, samt den private helsesektoren).",29.01.2024
Legenes klimaaksjon,5. Norge må anerkjenne sitt solidaritetsansvar,29.01.2024
Legenes klimaaksjon,"Vi applauderer rapporten sitt initiativ om at Norge må auke innsatsen for reduserte utslepp i andre land. Vi ønskjer å tillegga eit helseperspektiv til dette. Det er fastslått at klimakrisa er ei krise som forverre situasjonen for allereie sårbare menneske. Leger Uten Grenser har særleg tatt til orde for dette og beskrive korleis klimaendringar har fatale konsekvensar for menneske som lev i konfliktområde og menneske som ikkje har tilgang til grunnleggande helsehjelp. Med dette som bakteppe meine vi det er på sin plass at Norge innføre ein egen klima- og naturprosent i bistand slik som til dømes MDG har tatt til orde for, der eit beløp tilsvarande en prosent av nasjonalinntekta overførast årleg frå Oljefondet til klimatiltak, klimatilpassing og naturbevaring i utviklingsland.",29.01.2024
Legenes klimaaksjon,"På vegne av Legenes klimaaksjon, Sara Soraya Eriksen (styreleder), Lisbet Sviland (medlem), Ellen Rygh (medlem), Ruth Davey Eig (styremedlem) og Matilla Færevåg Berger (styremedlem)",29.01.2024
Levanger SV,HØRINGSUTTALELSE,28.02.2024
Levanger SV,Ang. NOU 2023: 25 Omstilling til lavutslipp - Veivalg for klimapolitikken mot 2050 (Rapport fra Klimautvalget 2050),28.02.2024
Levanger SV,"Fra Levanger SV, 28. februar 2024",28.02.2024
Levanger SV,,28.02.2024
Levanger SV,"Levanger SV støtter utvalgets utgangspunkt om at alle ressurser er knappe, selv i Norge, og at energieffektivisering og gjenbruk av ressurser (sirkulær økonomi) må prioriteres. Vi støtter de veivalg og anbefalinger som legges fram.",28.02.2024
Levanger SV,Vi viser til SVs plan «Et grønt rettferdig skifte. grønn ny deal» som beskriver hvordan Norge kan komme seg ut av klimakrisen og samtidig bekjempe ulikheter og sosiale forskjeller.,28.02.2024
Levanger SV,"I tillegg til å vri virkemidlene i grønn retning for næringslivet, jordbruk, forbruk og energi, foreslår SVs plan å bruke skattesystemet omfordelende, fra de som har best økonomisk og sosial evne til å klare en kostnadskrevende omstilling, til de som har dårligst forutsetninger.",28.02.2024
Levanger SV,,28.02.2024
Levanger SV,"Fra rapporten vil vi spesielt fokusere på temaene rettferdighet og energi. I det følgende vil vi framheve punkter som vi mener er spesielt viktig i forhold til SVs politiske linje, og noen punkter som har spesiell relevans for Levanger og Trøndelag.",28.02.2024
Levanger SV,,28.02.2024
Levanger SV,Til Kap 4 Usikkerhet og rettferdighet i omstillingen. Del 4.2 Utvalgets anbefalinger,28.02.2024
Levanger SV,Til kap 5. Energisystemet. Kap 5.6 Utvalgets anbefalinger,28.02.2024
Levanger SV,,28.02.2024
Levanger SV,Det er avgjørende at utvalgets arbeid får konsekvenser og at anbefalingene blir fulgt opp. SV brenner for et grønt og rettferdig skifte!,28.02.2024
Lyntogforum,Høringsuttalelse fra Lyntogforum til rapporten fra Klimautvalget 2050,28.02.2024
Lyntogforum,Innledning,28.02.2024
Lyntogforum,"De fem lyntogfora i Rogaland, Vestland, Telemark, Gudbrandsdalen/Mjøsa og Møre og Romsdal har gått sammen om denne felles høringsuttalelsen til rapporten fra Klimautvalget 2050. Vår uttalelse konsentrerer seg primært om kapittel 8 «Transport og mobilitet», men har også relevans for kapittel 6 «Arealer og natur» og kapittel 5 «Energisystemet» og en del andre områder.",28.02.2024
